IP,延迟(ms),丢包率(%),速度(Mbps)
108.162.198.8,14.06,0.00,0.00
190.93.247.177,11.02,0.00,0.00
104.16.165.137,12.42,0.00,0.00
104.25.117.74,11.99,0.00,0.00
172.66.172.1,14.48,0.00,0.00
141.101.123.176,14.40,0.00,0.00
104.27.22.176,14.45,0.00,0.00
104.24.67.183,12.23,0.00,0.00
198.41.211.192,12.45,0.00,0.00
104.19.26.113,11.99,0.00,0.00
104.18.10.208,12.22,0.00,0.00
104.17.131.149,15.36,0.00,0.00
162.159.197.245,12.82,0.00,0.00
108.162.192.90,14.07,0.00,0.00
104.18.115.79,14.78,0.00,0.00
173.245.58.103,14.68,0.00,0.00
104.26.13.68,11.87,0.00,0.00
104.19.233.26,12.08,0.00,0.00
104.24.150.241,14.78,0.00,0.00
104.24.40.132,11.79,0.00,0.00
190.93.245.193,12.08,0.00,0.00
162.159.27.11,13.51,0.00,0.00
108.162.193.101,14.34,0.00,0.00
104.19.178.254,11.56,0.00,0.00
104.18.25.26,13.25,0.00,0.00
104.27.62.139,12.76,0.00,0.00
173.245.58.193,11.71,0.00,0.00
104.25.108.140,14.49,0.00,0.00
172.67.229.0,15.02,0.00,0.00
141.101.122.217,11.98,0.00,0.00
104.25.213.86,13.43,0.00,0.00
104.21.10.211,12.22,0.00,0.00
104.24.39.188,13.58,0.00,0.00
104.25.156.155,14.08,0.00,0.00
188.114.99.37,13.58,0.00,0.00
141.101.121.150,11.68,0.00,0.00
104.17.11.243,14.93,0.00,0.00
173.245.58.129,14.02,0.00,0.00
172.66.130.30,12.27,0.00,0.00
172.67.173.54,11.87,0.00,0.00
104.24.54.127,12.01,0.00,0.00
104.20.12.60,14.41,0.00,0.00
172.65.123.179,12.23,0.00,0.00
104.27.33.232,11.87,0.00,0.00
198.41.216.123,14.03,0.00,0.00
104.21.105.230,11.86,0.00,0.00
172.67.184.109,14.72,0.00,0.00
162.159.140.56,14.58,0.00,0.00
104.19.205.49,14.62,0.00,0.00
104.18.93.138,14.75,0.00,0.00
104.16.216.146,14.01,0.00,0.00
104.18.222.38,11.84,0.00,0.00
141.101.113.41,11.90,0.00,0.00
104.21.41.114,13.29,0.00,0.00
104.18.243.37,14.01,0.00,0.00
104.18.6.3,12.82,0.00,0.00
190.93.245.60,12.29,0.00,0.00
104.25.249.195,13.41,0.00,0.00
104.25.56.227,14.83,0.00,0.00
172.67.161.118,13.16,0.00,0.00
172.67.238.104,10.88,0.00,0.00
188.114.96.179,13.38,0.00,0.00
104.16.206.139,12.85,0.00,0.00
104.25.158.63,14.56,0.00,0.00
162.159.34.115,14.32,0.00,0.00
172.64.228.181,13.55,0.00,0.00
104.25.204.53,14.81,0.00,0.00
162.159.130.202,13.42,0.00,0.00
103.31.4.51,14.12,0.00,0.00
162.159.27.95,11.84,0.00,0.00
104.18.105.115,13.54,0.00,0.00
104.19.78.57,14.35,0.00,0.00
104.21.99.53,14.53,0.00,0.00
104.24.228.151,13.80,0.00,0.00
104.17.3.173,14.38,0.00,0.00
141.101.120.11,12.16,0.00,0.00
172.64.231.158,14.85,0.00,0.00
104.25.173.121,11.60,0.00,0.00
104.27.79.96,14.13,0.00,0.00
104.25.169.218,14.26,0.00,0.00
108.162.193.89,14.09,0.00,0.00
104.25.35.51,14.74,0.00,0.00
198.41.211.219,11.98,0.00,0.00
104.19.44.156,12.59,0.00,0.00
172.67.249.3,14.76,0.00,0.00
172.65.83.219,12.14,0.00,0.00
104.25.94.175,14.18,0.00,0.00
172.65.36.220,11.28,0.00,0.00
104.18.70.127,14.43,0.00,0.00
104.19.191.194,11.67,0.00,0.00
103.31.4.225,11.00,0.00,0.00
190.93.245.55,14.35,0.00,0.00
198.41.219.58,14.40,0.00,0.00
104.18.191.61,13.19,0.00,0.00
198.41.197.30,15.08,0.00,0.00
198.41.214.61,13.13,0.00,0.00
188.114.99.246,14.18,0.00,0.00
104.24.42.120,14.89,0.00,0.00
104.25.57.197,10.97,0.00,0.00
104.21.21.221,10.06,0.00,0.00
108.162.194.14,13.64,0.00,0.00
104.18.235.89,13.07,0.00,0.00
104.16.51.83,14.25,0.00,0.00
172.64.235.132,14.66,0.00,0.00
190.93.246.192,14.71,0.00,0.00
198.41.193.17,12.77,0.00,0.00
104.21.108.24,12.14,0.00,0.00
104.17.52.34,12.16,0.00,0.00
172.67.66.114,14.21,0.00,0.00
104.26.5.134,14.60,0.00,0.00
104.25.178.32,13.17,0.00,0.00
104.19.129.134,14.72,0.00,0.00
162.159.56.30,12.40,0.00,0.00
172.65.169.120,11.98,0.00,0.00
162.159.255.43,12.21,0.00,63.58
190.93.245.135,14.29,0.00,55.64
104.18.67.84,12.80,0.00,60.08
108.162.195.121,14.08,0.00,66.03
103.31.4.254,13.12,0.00,54.37
198.41.223.186,12.58,0.00,67.31
173.245.58.224,14.76,0.00,55.44
104.16.120.205,15.17,0.00,53.58
188.114.97.100,11.50,0.00,58.83
104.24.48.255,11.73,0.00,62.97
141.101.123.195,14.16,0.00,53.55
104.27.7.97,13.62,0.00,63.37
198.41.192.159,11.01,0.00,52.43
198.41.222.237,13.14,0.00,53.30
162.159.21.152,13.09,0.00,59.64
104.17.214.204,15.41,0.00,52.33
104.17.186.156,14.56,0.00,52.20
104.25.254.184,11.17,0.00,63.73
104.17.18.18,15.92,0.00,51.88
172.67.106.208,11.86,0.00,61.10
104.24.51.151,11.74,0.00,52.07
104.25.157.198,12.07,0.00,50.81
104.17.85.183,14.50,0.00,49.32
172.65.220.0,13.97,0.00,0.00
